data,sku,tipo,qtd,saldo
2024-01-01,SKU-0047,entrada,167,167
2024-01-01,SKU-0047,saida,-5,162
2024-01-01,SKU-0048,entrada,339,339
2024-01-01,SKU-0049,entrada,24,24
2024-01-01,SKU-0050,entrada,24,24
2024-01-01,SKU-0051,entrada,781,781
2024-01-01,SKU-0051,saida,-46,735
2024-01-01,SKU-0052,entrada,87,87
2024-01-01,SKU-0053,entrada,80,80
2024-01-01,SKU-0053,saida,-7,73
2024-01-01,SKU-0054,entrada,24,24
2024-01-01,SKU-0055,entrada,71,71
2024-01-01,SKU-0056,entrada,334,334
2024-01-01,SKU-0056,saida,-6,328
2024-01-01,SKU-0057,entrada,233,233
2024-01-01,SKU-0057,saida,-16,217
2024-01-01,SKU-0058,entrada,54,54
2024-01-01,SKU-0059,entrada,177,177
2024-01-01,SKU-0059,saida,-19,158
2024-01-01,SKU-0060,entrada,40,40
2024-01-01,SKU-0061,entrada,50,50
2024-01-01,SKU-0062,entrada,69,69
2024-01-01,SKU-0063,entrada,24,24
2024-01-01,SKU-0064,entrada,67,67
2024-01-01,SKU-0064,saida,-3,64
2024-01-01,SKU-0065,entrada,64,64
2024-01-01,SKU-0066,entrada,1094,1094
2024-01-01,SKU-0066,saida,-26,1068
2024-01-01,SKU-0067,entrada,108,108
2024-01-01,SKU-0067,saida,-9,99
2024-01-01,SKU-0068,entrada,51,51
2024-01-01,SKU-0068,saida,-2,49
2024-01-01,SKU-0069,entrada,167,167
2024-01-01,SKU-0070,entrada,84,84
2024-01-01,SKU-0071,entrada,1223,1223
2024-01-01,SKU-0071,saida,-73,1150
2024-01-01,SKU-0072,entrada,42,42
2024-01-01,SKU-0073,entrada,24,24
2024-01-01,SKU-0074,entrada,570,570
2024-01-01,SKU-0074,saida,-1,569
2024-01-01,SKU-0075,entrada,24,24
2024-01-01,SKU-0076,entrada,51,51
2024-01-01,SKU-0077,entrada,44,44
2024-01-01,SKU-0077,saida,-15,29
2024-01-01,SKU-0078,entrada,165,165
2024-01-01,SKU-0079,entrada,152,152
2024-01-01,SKU-0079,saida,-1,151
2024-01-01,SKU-0080,entrada,56,56
2024-01-01,SKU-0081,entrada,351,351
2024-01-01,SKU-0081,saida,-15,336
2024-01-01,SKU-0082,entrada,72,72
2024-01-01,SKU-0083,entrada,28,28
2024-01-01,SKU-0083,saida,-16,12
2024-01-01,SKU-0084,entrada,85,85
2024-01-01,SKU-0084,saida,-24,61
2024-01-01,SKU-0085,entrada,39,39
2024-01-01,SKU-0086,entrada,60,60
2024-01-01,SKU-0087,entrada,24,24
2024-01-01,SKU-0088,entrada,111,111
2024-01-01,SKU-0089,entrada,37,37
2024-01-01,SKU-0090,entrada,143,143
2024-01-01,SKU-0091,entrada,133,133
2024-01-01,SKU-0092,entrada,105,105
2024-01-01,SKU-0093,entrada,140,140
2024-01-01,SKU-0093,saida,-4,136
2024-01-01,SKU-0094,entrada,155,155
2024-01-01,SKU-0094,saida,-9,146
2024-01-01,SKU-0095,entrada,792,792
2024-01-01,SKU-0095,saida,-49,743
2024-01-01,SKU-0096,entrada,33,33
2024-01-01,SKU-0096,saida,-6,27
2024-01-01,SKU-0097,entrada,487,487
2024-01-01,SKU-0097,saida,-5,482
2024-01-01,SKU-0098,entrada,48,48
2024-01-01,SKU-0099,entrada,1209,1209
2024-01-01,SKU-0099,saida,-8,1201
2024-01-01,SKU-0100,entrada,48,48
2024-01-01,SKU-0101,entrada,48,48
2024-01-01,SKU-0102,entrada,156,156
2024-01-01,SKU-0103,entrada,36,36
2024-01-01,SKU-0104,entrada,24,24
2024-01-01,SKU-0105,entrada,24,24
2024-01-01,SKU-0106,entrada,27,27
2024-01-01,SKU-0107,entrada,473,473
2024-01-01,SKU-0107,saida,-39,434
2024-01-01,SKU-0108,entrada,60,60
2024-01-01,SKU-0109,entrada,125,125
2024-01-01,SKU-0110,entrada,368,368
2024-01-01,SKU-0110,saida,-17,351
2024-01-01,SKU-0111,entrada,36,36
2024-01-01,SKU-0112,entrada,55,55
2024-01-01,SKU-0112,saida,-6,49
2024-01-01,SKU-0113,entrada,4699,4699
2024-01-01,SKU-0113,saida,-166,4533
2024-01-01,SKU-0114,entrada,132,132
2024-01-01,SKU-0115,entrada,73,73
2024-01-01,SKU-0115,saida,-12,61
2024-01-01,SKU-0116,entrada,535,535
2024-01-01,SKU-0117,entrada,24,24
2024-01-01,SKU-0118,entrada,160,160
2024-01-01,SKU-0119,entrada,179,179
2024-01-01,SKU-0119,saida,-23,156
2024-01-01,SKU-0120,entrada,39,39
2024-01-01,SKU-0121,entrada,28,28
2024-01-01,SKU-0122,entrada,81,81
2024-01-01,SKU-0122,saida,-10,71
2024-01-01,SKU-0123,entrada,146,146
2024-01-01,SKU-0123,saida,-15,131
2024-01-01,SKU-0124,entrada,565,565
2024-01-01,SKU-0124,saida,-19,546
2024-01-01,SKU-0125,entrada,542,542
2024-01-01,SKU-0125,saida,-39,503
2024-01-01,SKU-0126,entrada,84,84
2024-01-01,SKU-0126,saida,-5,79
2024-01-01,SKU-0127,entrada,24,24
2024-01-01,SKU-0128,entrada,163,163
2024-01-01,SKU-0128,saida,-6,157
2024-01-01,SKU-0129,entrada,24,24
2024-01-01,SKU-0130,entrada,36,36
2024-01-01,SKU-0131,entrada,24,24
2024-01-01,SKU-0132,entrada,46,46
2024-01-01,SKU-0133,entrada,29,29
2024-01-01,SKU-0134,entrada,108,108
2024-01-01,SKU-0134,saida,-4,104
2024-01-01,SKU-0135,entrada,94,94
2024-01-01,SKU-0136,entrada,67,67
2024-01-01,SKU-0137,entrada,105,105
2024-01-01,SKU-0137,saida,-10,95
2024-01-01,SKU-0138,entrada,94,94
2024-01-01,SKU-0139,entrada,225,225
2024-01-01,SKU-0139,saida,-26,199
2024-01-01,SKU-0140,entrada,1028,1028
2024-01-01,SKU-0140,saida,-39,989
2024-01-01,SKU-0141,entrada,132,132
2024-01-01,SKU-0141,saida,-4,128
2024-01-01,SKU-0142,entrada,29,29
2024-01-01,SKU-0143,entrada,24,24
2024-01-01,SKU-0144,entrada,1017,1017
2024-01-01,SKU-0144,saida,-27,990
2024-01-01,SKU-0145,entrada,111,111
2024-01-01,SKU-0146,entrada,370,370
2024-01-01,SKU-0147,entrada,74,74
2024-01-01,SKU-0148,entrada,51,51
2024-01-01,SKU-0149,entrada,10286,10286
2024-01-01,SKU-0149,saida,-520,9766
2024-01-01,SKU-0150,entrada,409,409
2024-01-01,SKU-0150,saida,-19,390
2024-01-01,SKU-0151,entrada,24,24
2024-01-01,SKU-0152,entrada,24,24
2024-01-01,SKU-0153,entrada,40,40
2024-01-01,SKU-0153,saida,-10,30
2024-01-01,SKU-0154,entrada,30,30
2024-01-01,SKU-0155,entrada,36,36
2024-01-01,SKU-0156,entrada,113,113
2024-01-01,SKU-0157,entrada,42,42
2024-01-01,SKU-0158,entrada,670,670
2024-01-01,SKU-0158,saida,-13,657
2024-01-01,SKU-0159,entrada,40,40
2024-01-01,SKU-0159,saida,-2,38
2024-01-01,SKU-0160,entrada,105,105
2024-01-01,SKU-0160,saida,-4,101
2024-01-01,SKU-0161,entrada,122,122
2024-01-01,SKU-0162,entrada,103,103
2024-01-01,SKU-0163,entrada,26,26
2024-01-01,SKU-0164,entrada,371,371
2024-01-01,SKU-0164,saida,-9,362
2024-01-01,SKU-0165,entrada,988,988
2024-01-01,SKU-0165,saida,-47,941
2024-01-01,SKU-0166,entrada,36,36
2024-01-01,SKU-0167,entrada,48,48
2024-01-01,SKU-0168,entrada,128,128
2024-01-01,SKU-0169,entrada,75,75
2024-01-01,SKU-0170,entrada,152,152
2024-01-01,SKU-0170,saida,-2,150
2024-01-01,SKU-0171,entrada,94,94
2024-01-01,SKU-0172,entrada,49,49
2024-01-01,SKU-0173,entrada,129,129
2024-01-01,SKU-0173,saida,-10,119
2024-01-01,SKU-0174,entrada,43,43
2024-01-01,SKU-0174,saida,-6,37
2024-01-01,SKU-0175,entrada,1710,1710
2024-01-01,SKU-0175,saida,-42,1668
2024-01-01,SKU-0176,entrada,48,48
2024-01-01,SKU-0177,entrada,60,60
2024-01-01,SKU-0178,entrada,73,73
2024-01-01,SKU-0179,entrada,31,31
2024-01-01,SKU-0180,entrada,540,540
2024-01-01,SKU-0180,saida,-11,529
2024-01-01,SKU-0181,entrada,62,62
2024-01-01,SKU-0182,entrada,36,36
2024-01-01,SKU-0182,saida,-30,6
2024-01-01,SKU-0183,entrada,24,24
2024-01-01,SKU-0184,entrada,100,100
2024-01-01,SKU-0184,saida,-2,98
2024-01-01,SKU-0185,entrada,24,24
2024-01-01,SKU-0186,entrada,42,42
2024-01-01,SKU-0187,entrada,114,114
2024-01-01,SKU-0188,entrada,112,112
2024-01-01,SKU-0188,saida,-29,83
2024-01-01,SKU-0189,entrada,73,73
2024-01-01,SKU-0190,entrada,48,48
2024-01-01,SKU-0191,entrada,31,31
2024-01-01,SKU-0192,entrada,49,49
2024-01-01,SKU-0192,saida,-5,44
2024-01-01,SKU-0193,entrada,57,57
2024-01-01,SKU-0193,saida,-22,35
2024-01-01,SKU-0194,entrada,29,29
2024-01-01,SKU-0195,entrada,2313,2313
2024-01-01,SKU-0195,saida,-93,2220
2024-01-01,SKU-0196,entrada,161,161
2024-01-01,SKU-0196,saida,-5,156
2024-01-01,SKU-0197,entrada,36,36
2024-01-01,SKU-0198,entrada,84,84
2024-01-01,SKU-0199,entrada,56,56
2024-01-01,SKU-0200,entrada,167,167
2024-01-01,SKU-0201,entrada,84,84
2024-01-01,SKU-0202,entrada,167,167
2024-01-01,SKU-0202,saida,-2,165
2024-01-01,SKU-0203,entrada,126,126
2024-01-01,SKU-0203,saida,-6,120
2024-01-01,SKU-0204,entrada,225,225
2024-01-01,SKU-0204,saida,-22,203
2024-01-01,SKU-0205,entrada,432,432
2024-01-01,SKU-0206,entrada,165,165
2024-01-01,SKU-0206,saida,-8,157
2024-01-01,SKU-0207,entrada,89,89
2024-01-01,SKU-0208,entrada,556,556
2024-01-01,SKU-0208,saida,-10,546
2024-01-01,SKU-0209,entrada,102,102
2024-01-01,SKU-0210,entrada,79,79
2024-01-01,SKU-0210,saida,-19,60
2024-01-01,SKU-0211,entrada,107,107
2024-01-01,SKU-0211,saida,-29,78
2024-01-01,SKU-0212,entrada,133,133
2024-01-01,SKU-0212,saida,-10,123
2024-01-01,SKU-0213,entrada,29,29
2024-01-01,SKU-0214,entrada,2525,2525
2024-01-01,SKU-0214,saida,-134,2391
2024-01-01,SKU-0215,entrada,349,349
2024-01-01,SKU-0215,saida,-34,315
2024-01-01,SKU-0216,entrada,60,60
2024-01-01,SKU-0217,entrada,109,109
2024-01-01,SKU-0218,entrada,145,145
2024-01-01,SKU-0218,saida,-21,124
2024-01-01,SKU-0219,entrada,48,48
2024-01-01,SKU-0220,entrada,85,85
2024-01-01,SKU-0221,entrada,29,29
2024-01-01,SKU-0222,entrada,36,36
2024-01-01,SKU-0222,saida,-4,32
2024-01-01,SKU-0223,entrada,48,48
2024-01-01,SKU-0224,entrada,154,154
2024-01-01,SKU-0224,saida,-7,147
2024-01-01,SKU-0225,entrada,75,75
2024-01-01,SKU-0226,entrada,74,74
2024-01-01,SKU-0226,saida,-12,62
2024-01-01,SKU-0227,entrada,84,84
2024-01-01,SKU-0228,entrada,511,511
2024-01-01,SKU-0228,saida,-13,498
2024-01-01,SKU-0229,entrada,51,51
2024-01-01,SKU-0230,entrada,208,208
2024-01-01,SKU-0230,saida,-6,202
2024-01-01,SKU-0231,entrada,45,45
2024-01-01,SKU-0232,entrada,75,75
2024-01-01,SKU-0232,saida,-17,58
2024-01-01,SKU-0233,entrada,165,165
2024-01-01,SKU-0233,saida,-14,151
2024-01-01,SKU-0234,entrada,60,60
2024-01-01,SKU-0235,entrada,108,108
2024-01-01,SKU-0236,entrada,308,308
2024-01-01,SKU-0236,saida,-11,297
2024-01-01,SKU-0237,entrada,555,555
2024-01-01,SKU-0237,saida,-22,533
2024-01-01,SKU-0238,entrada,131,131
2024-01-01,SKU-0239,entrada,95,95
2024-01-01,SKU-0239,saida,-35,60
2024-01-01,SKU-0240,entrada,342,342
2024-01-01,SKU-0240,saida,-17,325
2024-01-01,SKU-0241,entrada,52,52
2024-01-01,SKU-0241,saida,-15,37
2024-01-01,SKU-0242,entrada,27,27
2024-01-01,SKU-0243,entrada,143,143
2024-01-01,SKU-0244,entrada,69,69
2024-01-01,SKU-0245,entrada,34,34
2024-01-01,SKU-0245,saida,-6,28
2024-01-01,SKU-0246,entrada,565,565
2024-01-01,SKU-0247,entrada,360,360
2024-01-01,SKU-0247,saida,-20,340
2024-01-01,SKU-0248,entrada,138,138
2024-01-01,SKU-0248,ajuste,-5,133
2024-01-01,SKU-0249,entrada,53,53
2024-01-01,SKU-0249,saida,-7,46
2024-01-01,SKU-0250,entrada,270,270
2024-01-01,SKU-0250,saida,-25,245
2024-01-02,SKU-0002,saida,-25,435
2024-01-02,SKU-0003,saida,-3,57
2024-01-02,SKU-0006,saida,-5,60
2024-01-02,SKU-0007,saida,-9,12
2024-01-02,SKU-0013,saida,-32,316
2024-01-02,SKU-0014,saida,-29,29
2024-01-02,SKU-0015,saida,-7,93
2024-01-02,SKU-0024,saida,-16,942
2024-01-02,SKU-0025,saida,-7,402
2024-01-02,SKU-0027,saida,-27,751
2024-01-02,SKU-0028,saida,-8,76
2024-01-02,SKU-0030,saida,-13,159
2024-01-02,SKU-0033,saida,-9,109
2024-01-02,SKU-0036,saida,-9,68
2024-01-02,SKU-0039,saida,-14,405
2024-01-02,SKU-0040,saida,-20,40
2024-01-02,SKU-0044,saida,-22,14
2024-01-02,SKU-0045,saida,-37,798
2024-01-02,SKU-0047,saida,-10,152
2024-01-02,SKU-0048,saida,-9,330
2024-01-02,SKU-0051,saida,-68,667
2024-01-02,SKU-0052,saida,-19,68
2024-01-02,SKU-0056,saida,-15,313
2024-01-02,SKU-0061,saida,-4,46
2024-01-02,SKU-0065,saida,-7,57
2024-01-02,SKU-0066,saida,-46,1022
2024-01-02,SKU-0067,saida,-9,90
2024-01-02,SKU-0069,saida,-21,146
2024-01-02,SKU-0070,saida,-24,60
2024-01-02,SKU-0074,saida,-52,517
2024-01-02,SKU-0084,saida,-5,56
2024-01-02,SKU-0089,saida,-14,23
2024-01-02,SKU-0090,saida,-2,141
2024-01-02,SKU-0094,saida,-10,136
2024-01-02,SKU-0095,saida,-35,708
2024-01-02,SKU-0097,saida,-15,467
2024-01-02,SKU-0099,saida,-33,1168
2024-01-02,SKU-0110,saida,-16,335
2024-01-02,SKU-0113,saida,-135,4398
2024-01-02,SKU-0114,saida,-1,131
2024-01-02,SKU-0116,saida,-13,522
2024-01-02,SKU-0117,saida,-5,19
2024-01-02,SKU-0118,saida,-4,156
2024-01-02,SKU-0124,saida,-11,535
2024-01-02,SKU-0125,saida,-10,493
2024-01-02,SKU-0129,saida,-5,19
2024-01-02,SKU-0133,saida,-6,23
2024-01-02,SKU-0134,saida,-2,102
2024-01-02,SKU-0135,saida,-13,81
2024-01-02,SKU-0137,saida,-14,81
2024-01-02,SKU-0140,saida,-6,983
2024-01-02,SKU-0141,saida,-10,118
2024-01-02,SKU-0142,saida,-2,27
2024-01-02,SKU-0144,saida,-11,979
2024-01-02,SKU-0149,saida,-339,9427
2024-01-02,SKU-0150,saida,-1,389
2024-01-02,SKU-0158,saida,-23,634
2024-01-02,SKU-0162,saida,-5,98
2024-01-02,SKU-0163,saida,-3,23
2024-01-02,SKU-0164,saida,-21,341
2024-01-02,SKU-0165,saida,-35,906
2024-01-02,SKU-0167,saida,-20,28
2024-01-02,SKU-0172,saida,-9,40
2024-01-02,SKU-0175,saida,-35,1633
2024-01-02,SKU-0180,saida,-12,517
2024-01-02,SKU-0187,saida,-13,101
2024-01-02,SKU-0191,saida,-3,28
2024-01-02,SKU-0193,saida,-3,32
2024-01-02,SKU-0195,saida,-103,2117
2024-01-02,SKU-0198,ajuste,-3,81
2024-01-02,SKU-0200,saida,-2,165
2024-01-02,SKU-0204,saida,-13,190
2024-01-02,SKU-0206,saida,-18,139
2024-01-02,SKU-0208,saida,-40,506
2024-01-02,SKU-0211,saida,-18,60
2024-01-02,SKU-0214,saida,-42,2349
2024-01-02,SKU-0215,saida,-15,300
2024-01-02,SKU-0217,saida,-5,104
2024-01-02,SKU-0218,saida,-11,113
2024-01-02,SKU-0225,saida,-3,72
2024-01-02,SKU-0228,saida,-9,489
2024-01-02,SKU-0230,saida,-1,201
2024-01-02,SKU-0233,saida,-12,139
2024-01-02,SKU-0235,saida,-11,97
2024-01-02,SKU-0236,saida,-6,291
2024-01-02,SKU-0238,saida,-1,130
2024-01-02,SKU-0241,saida,-12,25
2024-01-02,SKU-0246,saida,-11,554
2024-01-03,SKU-0002,saida,-36,399
2024-01-03,SKU-0004,saida,-8,53
2024-01-03,SKU-0008,saida,-6,122
2024-01-03,SKU-0010,saida,-12,152
2024-01-03,SKU-0013,saida,-46,270
2024-01-03,SKU-0014,saida,-15,14
2024-01-03,SKU-0020,saida,-3,107
2024-01-03,SKU-0024,saida,-16,926
2024-01-03,SKU-0025,saida,-19,383
2024-01-03,SKU-0026,saida,-13,683
2024-01-03,SKU-0027,saida,-9,742
2024-01-03,SKU-0029,saida,-11,65
2024-01-03,SKU-0030,saida,-9,150
2024-01-03,SKU-0032,saida,-7,53
2024-01-03,SKU-0033,saida,-5,104
2024-01-03,SKU-0035,saida,-30,488
2024-01-03,SKU-0036,saida,-3,65
2024-01-03,SKU-0039,saida,-8,397
2024-01-03,SKU-0040,saida,-12,28
2024-01-03,SKU-0041,saida,-8,58
2024-01-03,SKU-0042,saida,-7,17
2024-01-03,SKU-0043,saida,-2,86
2024-01-03,SKU-0045,saida,-7,791
2024-01-03,SKU-0046,saida,-7,105
2024-01-03,SKU-0047,saida,-4,148
2024-01-03,SKU-0048,saida,-24,306
2024-01-03,SKU-0051,saida,-38,629
2024-01-03,SKU-0055,saida,-11,60
2024-01-03,SKU-0056,saida,-38,275
2024-01-03,SKU-0057,saida,-8,209
2024-01-03,SKU-0059,saida,-6,152
2024-01-03,SKU-0066,saida,-53,969
2024-01-03,SKU-0068,saida,-6,43
2024-01-03,SKU-0070,saida,-2,58
2024-01-03,SKU-0071,saida,-17,1133
2024-01-03,SKU-0074,saida,-12,505
2024-01-03,SKU-0078,saida,-5,160
2024-01-03,SKU-0079,saida,-13,138
2024-01-03,SKU-0081,saida,-4,332
2024-01-03,SKU-0091,saida,-2,131
2024-01-03,SKU-0093,saida,-6,130
2024-01-03,SKU-0094,saida,-8,128
2024-01-03,SKU-0095,saida,-26,682
2024-01-03,SKU-0097,saida,-6,461
2024-01-03,SKU-0099,saida,-64,1104
2024-01-03,SKU-0107,saida,-2,432
2024-01-03,SKU-0109,saida,-21,104
2024-01-03,SKU-0113,saida,-87,4311
2024-01-03,SKU-0116,saida,-61,461
2024-01-03,SKU-0118,saida,-14,142
2024-01-03,SKU-0119,saida,-3,153
2024-01-03,SKU-0124,ajuste,-6,529
2024-01-03,SKU-0128,saida,-10,147
2024-01-03,SKU-0134,saida,-11,91
2024-01-03,SKU-0137,saida,-2,79
2024-01-03,SKU-0138,saida,-19,75
2024-01-03,SKU-0140,saida,-19,964
2024-01-03,SKU-0141,saida,-8,110
2024-01-03,SKU-0143,saida,-7,17
2024-01-03,SKU-0144,saida,-19,960
2024-01-03,SKU-0147,saida,-12,62
2024-01-03,SKU-0149,saida,-446,8981
2024-01-03,SKU-0150,saida,-23,366
2024-01-03,SKU-0152,saida,-6,18
2024-01-03,SKU-0156,saida,-19,94
2024-01-03,SKU-0158,saida,-10,624
2024-01-03,SKU-0161,saida,-6,116
2024-01-03,SKU-0162,saida,-13,85
2024-01-03,SKU-0163,saida,-7,16
2024-01-03,SKU-0164,saida,-32,309
2024-01-03,SKU-0165,saida,-43,863
2024-01-03,SKU-0170,saida,-17,133
2024-01-03,SKU-0175,saida,-31,1602
2024-01-03,SKU-0177,saida,-20,40
2024-01-03,SKU-0180,saida,-34,483
2024-01-03,SKU-0192,saida,-5,39
2024-01-03,SKU-0195,saida,-83,2034
2024-01-03,SKU-0196,saida,-5,151
2024-01-03,SKU-0199,saida,-18,38
2024-01-03,SKU-0201,saida,-2,82
2024-01-03,SKU-0202,saida,-9,156
2024-01-03,SKU-0203,saida,-27,93
2024-01-03,SKU-0204,saida,-18,172
2024-01-03,SKU-0205,saida,-8,424
2024-01-03,SKU-0206,saida,-14,125
2024-01-03,SKU-0207,saida,-6,83
2024-01-03,SKU-0209,saida,-8,94
2024-01-03,SKU-0212,saida,-10,113
2024-01-03,SKU-0214,saida,-58,2291
2024-01-03,SKU-0215,saida,-4,296
2024-01-03,SKU-0220,saida,-4,81
2024-01-03,SKU-0225,saida,-3,69
2024-01-03,SKU-0227,saida,-22,62
2024-01-03,SKU-0228,saida,-14,475
2024-01-03,SKU-0229,saida,-7,44
2024-01-03,SKU-0230,saida,-10,191
2024-01-03,SKU-0233,saida,-15,124
2024-01-03,SKU-0236,saida,-11,280
2024-01-03,SKU-0237,saida,-9,524
2024-01-03,SKU-0238,saida,-8,122
2024-01-03,SKU-0239,saida,-14,46
2024-01-03,SKU-0240,saida,-38,287
2024-01-03,SKU-0246,saida,-6,548
2024-01-03,SKU-0247,saida,-3,337
2024-01-03,SKU-0250,saida,-25,220
2024-01-04,SKU-0001,saida,-16,115
2024-01-04,SKU-0002,saida,-14,385
2024-01-04,SKU-0004,saida,-2,51
2024-01-04,SKU-0008,saida,-8,114
2024-01-04,SKU-0011,saida,-4,49
2024-01-04,SKU-0015,saida,-4,89
2024-01-04,SKU-0017,saida,-19,390
2024-01-04,SKU-0019,saida,-6,100
2024-01-04,SKU-0024,saida,-18,908
2024-01-04,SKU-0025,saida,-16,367
2024-01-04,SKU-0026,saida,-54,629
2024-01-04,SKU-0027,saida,-36,706
2024-01-04,SKU-0028,saida,-2,74
2024-01-04,SKU-0029,saida,-31,34
2024-01-04,SKU-0035,saida,-8,480
2024-01-04,SKU-0036,saida,-17,48
2024-01-04,SKU-0037,saida,-8,123
2024-01-04,SKU-0040,saida,-8,20
2024-01-04,SKU-0041,saida,-14,44
2024-01-04,SKU-0042,saida,-3,14
2024-01-04,SKU-0045,saida,-36,755
2024-01-04,SKU-0047,saida,-6,142
2024-01-04,SKU-0048,saida,-4,302
2024-01-04,SKU-0051,saida,-43,586
2024-01-04,SKU-0052,saida,-11,57
2024-01-04,SKU-0056,saida,-1,274
2024-01-04,SKU-0064,saida,-17,47
2024-01-04,SKU-0066,saida,-49,920
2024-01-04,SKU-0069,saida,-13,133
2024-01-04,SKU-0071,saida,-19,1114
2024-01-04,SKU-0074,saida,-15,490
2024-01-04,SKU-0076,saida,-5,46
2024-01-04,SKU-0077,saida,-12,17
2024-01-04,SKU-0078,saida,-4,156
2024-01-04,SKU-0079,saida,-14,124
2024-01-04,SKU-0080,saida,-33,23
2024-01-04,SKU-0081,saida,-5,327
2024-01-04,SKU-0090,saida,-12,129
2024-01-04,SKU-0092,saida,-4,101
2024-01-04,SKU-0093,saida,-10,120
2024-01-04,SKU-0094,saida,-11,117
2024-01-04,SKU-0095,saida,-13,669
2024-01-04,SKU-0099,saida,-57,1047
2024-01-04,SKU-0107,saida,-1,431
2024-01-04,SKU-0108,saida,-30,30
2024-01-04,SKU-0109,saida,-13,91
2024-01-04,SKU-0110,saida,-13,322
2024-01-04,SKU-0113,saida,-153,4158
2024-01-04,SKU-0114,saida,-23,108
2024-01-04,SKU-0116,saida,-19,442
2024-01-04,SKU-0117,ajuste,-4,15
2024-01-04,SKU-0119,saida,-19,134
2024-01-04,SKU-0122,saida,-26,45
2024-01-04,SKU-0123,saida,-1,130
2024-01-04,SKU-0124,saida,-25,504
2024-01-04,SKU-0125,saida,-9,484
2024-01-04,SKU-0128,saida,-3,144
2024-01-04,SKU-0132,saida,-5,41
2024-01-04,SKU-0134,saida,-6,85
2024-01-04,SKU-0137,saida,-39,40
2024-01-04,SKU-0140,saida,-34,930
2024-01-04,SKU-0144,saida,-35,925
2024-01-04,SKU-0146,saida,-8,362
2024-01-04,SKU-0148,saida,-8,43
2024-01-04,SKU-0149,saida,-525,8456
2024-01-04,SKU-0158,saida,-3,621
2024-01-04,SKU-0163,saida,-4,12
2024-01-04,SKU-0165,saida,-35,828
2024-01-04,SKU-0166,saida,-7,29
2024-01-04,SKU-0168,saida,-5,123
2024-01-04,SKU-0170,saida,-25,108
2024-01-04,SKU-0171,saida,-8,86
2024-01-04,SKU-0173,saida,-33,86
2024-01-04,SKU-0175,saida,-9,1593
2024-01-04,SKU-0177,saida,-6,34
2024-01-04,SKU-0180,saida,-12,471
2024-01-04,SKU-0184,saida,-5,93
2024-01-04,SKU-0188,saida,-17,66
2024-01-04,SKU-0192,saida,-5,34
2024-01-04,SKU-0195,saida,-68,1966
2024-01-04,SKU-0196,saida,-7,144
2024-01-04,SKU-0200,saida,-25,140
2024-01-04,SKU-0202,saida,-2,154
2024-01-04,SKU-0204,saida,-1,171
